 400 = number of grid points in r
 index     r/rstar  r(au)
 1  1.  206295.438
 2  2.99953371  618790.125
 3  3.0628295  631847.75
 4  3.25271687  671020.625
 5  3.56919581  736308.812
 6  4.01226634  827712.25
 7  4.58192844  945230.938
 8  5.27818212  1088864.88
 9  6.10102738  1258614.12
 10  7.05046422  1454478.62
 11  8.12649264  1676458.38
 12  9.32911264  1924553.38
 13  10.6583242  2198763.75
 14  12.1141274  2499089.25
 15  13.6965221  2825530.
 16  15.4055084  3178086.
 17  17.2410863  3556757.5
 18  19.2032558  3961544.
 19  21.2920168  4392446.
 20  23.5073694  4849463.
 21  25.8493136  5332595.5
 22  28.3178494  5841843.
 23  30.9129768  6377206.
 24  33.6346957  6938684.
 25  36.4830062  7526277.5
 26  39.4579083  8139986.5
 27  42.559402  8779810.
 28  45.7874873  9445750.
 29  49.1421641  10137804.
 30  52.6234325  10855974.
 31  56.2312925  11600259.
 32  59.9657441  12370659.
 33  63.8267872  13167175.
 34  67.8144219  13989806.
 35  71.9286483  14838552.
 36  76.1694661  15713413.
 37  80.5368756  16614390.
 38  85.0308766  17541482.
 39  89.6514693  18494688.
 40  94.3986534  19474012.
 41  99.2724292  20479450.
 42  104.272797  21511002.
 43  109.399756  22568670.
 44  114.653306  23652454.
 45  120.033448  24762352.
 46  125.540182  25898366.
 47  131.173507  27060496.
 48  136.933424  28248740.
 49  142.819932  29463100.
 50  148.833032  30703576.
 51  154.972724  31970166.
 52  161.239007  33262872.
 53  167.631882  34581692.
 54  174.151348  35926628.
 55  180.797406  37297680.
 56  187.570055  38694848.
 57  194.469296  40118128.
 58  201.495129  41567524.
 59  208.647553  43043036.
 60  215.926569  44544664.
 61  223.332176  46072408.
 62  230.864375  47626268.
 63  238.523166  49206240.
 64  246.308548  50812328.
 65  254.220521  52444532.
 66  262.259087  54102852.
 67  270.424243  55787288.
 68  278.715992  57497836.
 69  287.134332  59234504.
 70  295.679263  60997284.
 71  304.350787  62786180.
 72  313.148901  64601188.
 73  322.073608  66442316.
 74  331.124905  68309560.
 75  340.302795  70202912.
 76  349.607276  72122384.
 77  359.038348  74067976.
 78  368.596013  76039672.
 79  378.280268  78037496.
 80  388.091116  80061424.
 81  398.028555  82111472.
 82  408.092585  84187640.
 83  418.283207  86289920.
 84  428.600421  88418312.
 85  439.044226  90572824.
 86  449.614623  92753448.
 87  460.311611  94960184.
 88  471.135191  97193040.
 89  482.085363  99452008.
 90  493.162126  101737096.
 91  504.365481  104048296.
 92  515.695427  106385616.
 93  527.151965  108749048.
 94  538.735094  111138592.
 95  550.444815  113554256.
 96  562.281128  115996032.
 97  574.244032  118463920.
 98  586.333528  120957928.
 99  598.549615  123478056.
 100  610.892294  126024296.
 101  623.361565  128596648.
 102  635.957427  131195112.
 103  648.67988  133819696.
 104  661.528926  136470400.
 105  674.504562  139147216.
 106  687.606791  141850144.
 107  700.835611  144579184.
 108  714.191022  147334352.
 109  727.673025  150115616.
 110  741.28162  152923008.
 111  755.016806  155756528.
 112  768.878584  158616144.
 113  782.866954  161501872.
 114  796.981915  164413728.
 115  811.223467  167351696.
 116  825.591611  170315776.
 117  840.086347  173305984.
 118  854.707674  176322288.
 119  869.455593  179364720.
 120  884.330104  182433264.
 121  899.331206  185527920.
 122  914.4589  188648704.
 123  929.713185  191795584.
 124  945.094062  194968592.
 125  960.60153  198167712.
 126  976.23559  201392944.
 127  991.996241  204644304.
 128  1007.88348  207921760.
 129  1023.89732  211225344.
 130  1040.03775  214555040.
 131  1056.30476  217910848.
 132  1072.69837  221292784.
 133  1089.21857  224700816.
 134  1105.86537  228134976.
 135  1122.63875  231595248.
 136  1139.53873  235081632.
 137  1156.56529  238594144.
 138  1173.71845  242132752.
 139  1190.9982  245697488.
 140  1208.40455  249288336.
 141  1225.93748  252905312.
 142  1243.597  256548384.
 143  1261.38312  260217584.
 144  1279.29583  263912896.
 145  1297.33513  267634320.
 146  1315.50102  271381856.
 147  1333.7935  275155520.
 148  1352.21258  278955296.
 149  1370.75824  282781184.
 150  1389.4305  286633184.
 151  1408.22935  290511296.
 152  1427.15479  294415520.
 153  1446.20683  298345856.
 154  1465.38545  302302336.
 155  1484.69067  306284896.
 156  1504.12247  310293600.
 157  1523.68087  314328416.
 158  1543.36586  318389344.
 159  1563.17744  322476384.
 160  1583.11562  326589536.
 161  1603.18038  330728800.
 162  1623.37174  334894176.
 163  1643.68969  339085696.
 164  1664.13423  343303296.
 165  1684.70536  347547040.
 166  1705.40308  351816864.
 167  1726.2274  356112832.
 168  1747.1783  360434912.
 169  1768.2558  364783104.
 170  1789.45989  369157408.
 171  1810.79057  373557824.
 172  1832.24784  377984352.
 173  1853.83171  382437024.
 174  1875.54216  386915776.
 175  1897.37921  391420672.
 176  1919.34285  395951680.
 177  1941.43308  400508768.
 178  1963.6499  405092000.
 179  1985.99332  409701344.
 180  2008.46332  414336832.
 181  2031.05992  418998400.
 182  2053.78311  423686080.
 183  2076.63289  428399872.
 184  2099.60926  433139808.
 185  2122.71222  437905856.
 186  2145.94178  442697984.
 187  2169.29792  447516256.
 188  2192.78066  452360640.
 189  2216.38999  457231136.
 190  2240.12591  462127744.
 191  2263.98842  467050464.
 192  2287.97753  471999328.
 193  2312.09322  476974272.
 194  2336.33551  481975360.
 195  2360.70439  487002528.
 196  2385.19986  492055840.
 197  2409.82192  497135264.
 198  2434.57058  502240800.
 199  2459.44582  507372448.
 200  2484.44766  512530208.
 201  2509.57609  517714080.
 202  2534.83111  522924096.
 203  2560.21272  528160192.
 204  2585.72092  533422432.
 205  2611.35571  538710784.
 206  2637.1171  544025216.
 207  2663.00508  549365824.
 208  2689.01965  554732480.
 209  2715.16081  560125312.
 210  2741.42856  565544192.
 211  2767.82291  570989248.
 212  2794.34384  576460352.
 213  2820.99137  581957632.
 214  2847.76549  587481024.
 215  2874.6662  593030528.
 216  2901.6935  598606144.
 217  2928.84739  604207872.
 218  2956.12788  609835712.
 219  2983.53496  615489664.
 220  3011.06862  621169728.
 221  3038.72888  626875904.
 222  3066.51574  632608192.
 223  3094.42918  638366592.
 224  3122.46921  644151168.
 225  3150.63584  649961792.
 226  3178.92906  655798528.
 227  3207.34887  661661440.
 228  3235.89527  667550400.
 229  3264.56826  673465536.
 230  3293.36784  679406784.
 231  3322.29402  685374080.
 232  3351.34679  691367552.
 233  3380.52615  697387136.
 234  3409.8321  703432768.
 235  3439.26464  709504576.
 236  3468.82377  715602496.
 237  3498.5095  721726528.
 238  3528.32181  727876672.
 239  3558.26072  734052928.
 240  3588.32622  740255296.
 241  3618.51831  746483840.
 242  3648.837  752738432.
 243  3679.28227  759019136.
 244  3709.85414  765325952.
 245  3740.5526  771658944.
 246  3771.37765  778017984.
 247  3802.32929  784403200.
 248  3833.40752  790814464.
 249  3864.61234  797251904.
 250  3895.94376  803715392.
 251  3927.40177  810205056.
 252  3958.98636  816720832.
 253  3990.69756  823262720.
 254  4022.53534  829830656.
 255  4054.49971  836424768.
 256  4086.59068  843044992.
 257  4118.80823  849691328.
 258  4151.15238  856363776.
 259  4183.62312  863062336.
 260  4216.22045  869787008.
 261  4248.94438  876537856.
 262  4281.79489  883314752.
 263  4314.772  890117760.
 264  4347.87569  896946880.
 265  4381.10598  903802176.
 266  4414.46286  910683520.
 267  4447.94634  917591040.
 268  4481.5564  924524608.
 269  4515.29306  931484352.
 270  4549.1563  938470208.
 271  4583.14614  945482112.
 272  4617.26257  952520192.
 273  4651.5056  959584384.
 274  4685.87521  966674688.
 275  4720.37141  973791104.
 276  4754.99421  980933632.
 277  4789.7436  988102272.
 278  4824.61958  995297024.
 279  4859.62215  1.00251789E+09
 280  4894.75131  1.00976486E+09
 281  4930.00707  1.01703795E+09
 282  4965.38941  1.02433715E+09
 283  5000.89835  1.03166253E+09
 284  5036.53388  1.03901395E+09
