 119 = number of grid points in theta
 index  thet(rad)  thet(deg)    cost     tan**2(thet)
 1  0.  0.  1.  0.
 2  0.112411037  6.44067812  0.993688524  0.0127434582
 3  0.137555614  7.88135576  0.990554154  0.0191628132
 4  0.162700191  9.32203388  0.986793518  0.0269456096
 5  0.187844753  10.7627115  0.982409  0.0361326113
 6  0.21298933  12.2033901  0.977403402  0.0467725322
 7  0.238133907  13.6440678  0.971779883  0.0589225888
 8  0.263278484  15.0847454  0.965541959  0.0726491734
 9  0.288423061  16.525423  0.958693624  0.088028647
 10  0.313567638  17.9661026  0.951239169  0.105148263
 11  0.338712215  19.4067802  0.943183362  0.124107257
 12  0.363856763  20.8474579  0.934531212  0.145018145
 13  0.38900134  22.2881355  0.92528826  0.168008178
 14  0.414145917  23.7288132  0.915460348  0.193221122
 15  0.439290494  25.1694908  0.905053616  0.220819235
 16  0.464435071  26.6101704  0.894074738  0.250985682
 17  0.489579648  28.050848  0.88253063  0.283927321
 18  0.514724195  29.4915257  0.870428503  0.319877952
 19  0.539868772  30.9322033  0.857776105  0.3591021
 20  0.565013349  32.3728828  0.844581425  0.401899666
 21  0.590157926  33.8135605  0.830852807  0.44861117
 22  0.615302503  35.2542381  0.816598892  0.499624223
 23  0.64044708  36.6949158  0.801828682  0.555381119
 24  0.665591657  38.1355934  0.786551535  0.616387963
 25  0.690736234  39.5762711  0.770777166  0.683225572
 26  0.715880811  41.0169487  0.754515469  0.756562889
 27  0.741025388  42.4576263  0.737776756  0.837172985
 28  0.766169965  43.898304  0.720571637  0.925953031
 29  0.791314542  45.3389816  0.7029109  1.02394831
 30  0.816459119  46.7796593  0.68480581  1.13238239
 31  0.841603696  48.2203407  0.666267812  1.25269473
 32  0.866748273  49.6610184  0.647308528  1.38658738
 33  0.89189285  51.101696  0.627940059  1.53608406
 34  0.917037427  52.5423737  0.608174562  1.70360684
 35  0.942182004  53.9830513  0.588024557  1.89207184
 36  0.967326522  55.4237289  0.567502797  2.10501695
 37  0.992471099  56.8644066  0.546622276  2.34676623
 38  1.01761568  58.3050842  0.525396168  2.62264895
 39  1.04276025  59.7457619  0.503837883  2.9392941
 40  1.06790483  61.1864395  0.481961042  3.30502939
 41  1.09304941  62.6271172  0.459779531  3.73043132
 42  1.11819398  64.0677948  0.437307328  4.22909451
 43  1.14333856  65.5084763  0.414558649  4.81872797
 44  1.16848314  66.9491501  0.391547889  5.52274275
 45  1.19362772  68.3898315  0.36828956  6.37260818
 46  1.21877229  69.8305054  0.344798416  7.41142225
 47  1.24391687  71.2711868  0.321089298  8.69947815
 48  1.26906145  72.7118607  0.297177166  10.3231993
 49  1.29420602  74.1525421  0.27307716  12.4100151
 50  1.3193506  75.5932236  0.248804495  15.154129
 51  1.34449518  77.0338974  0.224374548  18.8633652
 52  1.36963975  78.4745789  0.199802741  24.0493889
 53  1.39478433  79.9152527  0.175104603  31.6140575
 54  1.41992891  81.3559341  0.150295779  43.2696838
 55  1.44507349  82.796608  0.12539193  62.600544
 56  1.47021806  84.2372894  0.100408807  98.1873703
 57  1.49536264  85.6779633  0.0753622055  175.073029
 58  1.52050722  87.1186447  0.0502679534  394.746948
 59  1.54565179  88.5593185  0.0251419246  1580.98718
 60  1.57079637  90.  0. -1.
 61  1.59594095  91.4406815 -0.0251419246  1580.98718
 62  1.62108552  92.8813553 -0.0502679534  394.746948
 63  1.6462301  94.3220367 -0.0753622055  175.073029
 64  1.67137468  95.7627106 -0.100408807  98.1873703
 65  1.69651926  97.203392 -0.12539193  62.600544
 66  1.72166371  98.6440659 -0.150295779  43.2696838
 67  1.74680829  100.084747 -0.175104603  31.6140575
 68  1.77195287  101.525421 -0.199802741  24.0493889
 69  1.79709744  102.966103 -0.224374548  18.8633652
 70  1.82224202  104.406776 -0.248804495  15.154129
 71  1.8473866  105.847458 -0.27307716  12.4100151
 72  1.87253118  107.288139 -0.297177166  10.3231993
 73  1.89767575  108.728813 -0.321089298  8.69947815
 74  1.92282033  110.169495 -0.344798416  7.41142225
 75  1.94796491  111.610168 -0.36828956  6.37260818
 76  1.97310948  113.05085 -0.391547889  5.52274275
 77  1.99825406  114.491524 -0.414558649  4.81872797
 78  2.02339864  115.932205 -0.437307328  4.22909451
 79  2.04854321  117.372879 -0.459779531  3.73043132
 80  2.07368779  118.81356 -0.481961042  3.30502939
 81  2.09883237  120.254234 -0.503837883  2.9392941
 82  2.12397695  121.694916 -0.525396168  2.62264895
 83  2.14912152  123.13559 -0.546622276  2.34676623
 84  2.1742661  124.576271 -0.567502797  2.10501695
 85  2.19941068  126.016953 -0.588024557  1.89207184
 86  2.22455525  127.457626 -0.608174562  1.70360684
 87  2.24969983  128.8983 -0.627940059  1.53608406
 88  2.27484441  130.338989 -0.647308528  1.38658738
 89  2.29998899  131.779663 -0.666267812  1.25269473
 90  2.32513356  133.220337 -0.68480581  1.13238239
 91  2.35027814  134.661011 -0.7029109  1.02394831
 92  2.37542272  136.1017 -0.720571637  0.925953031
 93  2.40056729  137.542374 -0.737776756  0.837172985
 94  2.42571187  138.983047 -0.754515469  0.756562889
 95  2.45085645  140.423721 -0.770777166  0.683225572
 96  2.47600102  141.86441 -0.786551535  0.616387963
 97  2.5011456  143.305084 -0.801828682  0.555381119
 98  2.52629018  144.745758 -0.816598892  0.499624223
 99  2.55143476  146.186447 -0.830852807  0.44861117
 100  2.57657933  147.627121 -0.844581425  0.401899666
 101  2.60172391  149.067795 -0.857776105  0.3591021
 102  2.62686849  150.508469 -0.870428503  0.319877952
 103  2.65201306  151.949158 -0.88253063  0.283927321
 104  2.67715764  153.389832 -0.894074738  0.250985682
 105  2.70230222  154.830505 -0.905053616  0.220819235
 106  2.72744679  156.271179 -0.915460348  0.193221122
 107  2.75259137  157.711868 -0.92528826  0.168008178
 108  2.77773595  159.152542 -0.934531212  0.145018145
 109  2.80288053  160.593216 -0.943183362  0.124107257
 110  2.8280251  162.033905 -0.951239169  0.105148263
 111  2.85316968  163.474579 -0.958693624  0.088028647
 112  2.87831426  164.915253 -0.965541959  0.0726491734
 113  2.90345883  166.355927 -0.971779883  0.0589225888
 114  2.92860341  167.796616 -0.977403402  0.0467725322
 115  2.95374799  169.237289 -0.982409  0.0361326113
 116  2.97889256  170.677963 -0.986793518  0.0269456096
 117  3.00403714  172.118637 -0.990554154  0.0191628132
 118  3.02918172  173.559326 -0.993688524  0.0127434582
 119  3.14159274  180. -1.  0.
