 600 = number of grid points in r
 index     r/rstar  r(au)
 1  1.  206295.438
 2  2.99953371  618790.125
 3  3.03697017  626513.062
 4  3.07487386  634332.438
 5  3.11325062  642249.375
 6  3.15210636  650265.125
 7  3.19144704  658380.938
 8  3.23127872  666598.062
 9  3.27160754  674917.688
 10  3.31243968  683341.188
 11  3.35378145  691869.812
 12  3.39563919  700504.875
 13  3.43801935  709247.688
 14  3.48092844  718099.625
 15  3.52437307  727062.062
 16  3.56835992  736136.375
 17  3.61289577  745323.938
 18  3.65798745  754626.125
 19  3.70364191  764044.438
 20  3.74986618  773580.25
 21  3.79666736  783235.125
 22  3.84405265  793010.5
 23  3.89202935  802907.875
 24  3.94060483  812928.812
 25  3.98978657  823074.75
 26  4.03958214  833347.375
 27  4.08999919  843748.188
 28  4.14104549  854278.812
 29  4.19272889  864940.812
 30  4.24505733  875735.938
 31  4.29803887  886665.812
 32  4.35168166  897732.062
 33  4.40599395  908936.438
 34  4.4609841  920280.688
 35  4.51666057  931766.438
 36  4.57303193  943395.625
 37  4.63010684  955169.938
 38  4.68789409  967091.125
 39  4.74640257  979161.188
 40  4.80564128  991381.875
 41  4.86561934  1003755.06
 42  4.92634596  1016282.69
 43  4.9878305  1028966.69
 44  5.05008242  1041808.94
 45  5.11311128  1054811.5
 46  5.1769268  1067976.38
 47  5.24153878  1081305.5
 48  5.30695716  1094801.
 49  5.37319202  1108465.
 50  5.44025354  1122299.5
 51  5.50815204  1136306.62
 52  5.57689796  1150488.62
 53  5.64650188  1164847.62
 54  5.71697452  1179385.75
 55  5.7883267  1194105.38
 56  5.86056942  1209008.75
 57  5.93371377  1224098.12
 58  6.00777103  1239375.75
 59  6.08275258  1254844.12
 60  6.15866995  1270505.5
 61  6.23553483  1286362.38
 62  6.31335904  1302417.12
 63  6.39215456  1318672.25
 64  6.4719335  1335130.38
 65  6.55270815  1351793.75
 66  6.63449093  1368665.25
 67  6.71729442  1385747.12
 68  6.80113135  1403042.38
 69  6.88601464  1420553.38
 70  6.97195733  1438283.
 71  7.05897266  1456233.88
 72  7.147074  1474408.75
 73  7.23627491  1492810.5
 74  7.32658912  1511441.88
 75  7.41803052  1530305.88
 76  7.51061318  1549405.25
 77  7.60435134  1568743.
 78  7.69925942  1588322.12
 79  7.79535202  1608145.5
 80  7.89264394  1628216.38
 81  7.99115013  1648537.75
 82  8.09088576  1669112.75
 83  8.19186616  1689944.62
 84  8.29410687  1711036.38
 85  8.39762363  1732391.38
 86  8.50243235  1754013.
 87  8.60854916  1775904.38
 88  8.7159904  1798069.
 89  8.82477258  1820510.25
 90  8.93491245  1843231.62
 91  9.04642694  1866236.62
 92  9.15933322  1889528.62
 93  9.27364866  1913111.38
 94  9.38939084  1936988.5
 95  9.50657757  1961163.62
 96  9.62522688  1985640.38
 97  9.74535703  2010422.62
 98  9.86698649  2035514.25
 99  9.99013397  2060919.
 100  10.1148184  2086640.88
 101  10.2410591  2112683.75
 102  10.3688753  2139051.75
 103  10.4982867  2165748.75
 104  10.6293133  2192778.75
 105  10.7619752  2220146.25
 106  10.8962928  2247855.5
 107  11.0322868  2275910.5
 108  11.1699782  2304315.5
 109  11.309388  2333075.
 110  11.4505377  2362193.75
 111  11.5934491  2391675.75
 112  11.7381442  2421525.5
 113  11.8846451  2451748.
 114  12.0329745  2482347.75
 115  12.1831552  2513329.25
 116  12.3352102  2544697.5
 117  12.489163  2576457.25
 118  12.6450373  2608613.5
 119  12.8028569  2641171.
 120  12.9626463  2674134.75
 121  13.12443  2707510.
 122  13.2882329  2741301.75
 123  13.4540801  2775515.25
 124  13.6219972  2810155.75
 125  13.7920101  2845228.75
 126  13.9641449  2880739.25
 127  14.138428  2916693.25
 128  14.3148863  2953095.75
 129  14.493547  2989952.5
 130  14.6744375  3027269.5
 131  14.8575856  3065052.
 132  15.0430196  3103306.25
 133  15.2307679  3142038.
 134  15.4208594  3181253.
 135  15.6133235  3220957.25
 136  15.8081896  3261157.25
 137  16.0054878  3301859.
 138  16.2052485  3343068.75
 139  16.4075023  3384792.75
 140  16.6122804  3427037.5
 141  16.8196143  3469809.75
 142  17.0295358  3513115.5
 143  17.2420774  3556961.75
 144  17.4572716  3601355.5
 145  17.6751516  3646303.
 146  17.8957509  3691811.75
 147  18.1191035  3737888.25
 148  18.3452437  3784540.
 149  18.5742063  3831774.
 150  18.8060265  3879597.5
 151  19.04074  3928017.75
 152  19.2783829  3977042.5
 153  19.5189917  4026679.
 154  19.7626036  4076935.
 155  20.0092559  4127818.25
 156  20.2589866  4179336.5
 157  20.5118341  4231498.
 158  20.7678374  4284310.
 159  21.0270358  4337781.5
 160  21.2894692  4391920.5
 161  21.5551779  4446735.
 162  21.8242029  4502233.5
 163  22.0965856  4558425.
 164  22.3723677  4615317.5
 165  22.6515919  4672920.
 166  22.934301  4731241.5
 167  23.2205385  4790291.
 168  23.5103484  4850077.5
 169  23.8037754  4910610.
 170  24.1008646  4971898.5
 171  24.4016617  5033951.5
 172  24.706213  5096779.
 173  25.0145653  5160390.5
 174  25.3267661  5224796.5
 175  25.6428634  5290005.5
 176  25.9629058  5356029.
 177  26.2869426  5422876.5
 178  26.6150236  5490558.
 179  26.9471993  5559084.
 180  27.2835208  5628466.
 181  27.6240399  5698713.5
 182  27.9688089  5769837.5
 183  28.3178809  5841849.5
 184  28.6713096  5914760.5
 185  29.0291493  5988581.
 186  29.3914551  6063323.
 187  29.7582828  6138998.
 188  30.1296888  6215617.5
 189  30.5057302  6293193.
 190  30.8864649  6371736.5
 191  31.2719514  6451261.
 192  31.6622491  6531777.5
 193  32.0574181  6613299.
 194  32.457519  6695838.
 195  32.8626135  6779407.
 196  33.2727639  6864019.5
 197  33.6880333  6949687.5
 198  34.1084855  7036425.
 199  34.5341853  7124245.
 200  34.9651982  7213161.
 201  35.4015904  7303186.5
 202  35.8434292  7394336.
 203  36.2907824  7486623.
 204  36.7437189  7580061.5
 205  37.2023085  7674666.5
 206  37.6666215  7770452.
 207  38.1367296  7867433.5
 208  38.6127049  7965625.
 209  39.0946208  8065042.
 210  39.5825514  8165699.5
 211  40.0765717  8267614.
 212  40.5767578  8370800.
 213  41.0831865  8475274.
 214  41.5959359  8581052.
 215  42.1150848  8688150.
 216  42.6407131  8796584.
 217  43.1729016  8906373.
 218  43.7117322  9017531.
 219  44.2572878  9130076.
 220  44.8096524  9244027.
 221  45.3689109  9359399.
 222  45.9351494  9476212.
 223  46.5084549  9594482.
 224  47.0889158  9714228.
 225  47.6766212  9835469.
 226  48.2716617  9958223.
 227  48.8741287  10082510.
 228  49.4841149  10208347.
 229  50.1017143  10335755.
 230  50.7270217  10464753.
 231  51.3601335  10595361.
 232  52.001147  10727599.
 233  52.6501608  10861488.
 234  53.3072748  10997047.
 235  53.9725901  11134299.
 236  54.646209  11273264.
 237  55.3282352  11413962.
 238  56.0187737  11556417.
 239  56.7179305  11700650.
 240  57.4258134  11846683.
 241  58.1425312  11994539.
 242  58.8681941  12144240.
 243  59.6029139  12295809.
 244  60.3468036  12449270.
 245  61.0999775  12604646.
 246  61.8625516  12761962.
 247  62.6346433  12921241.
 248  63.4163712  13082508.
 249  64.2078557  13245788.
 250  65.0092185  13411105.
 251  65.820583  13578486.
 252  66.6420739  13747956.
 253  67.4738176  13919541.
 254  68.3159421  14093267.
 255  69.1685769  14269162.
 256  70.0318533  14447252.
 257  70.9059041  14627564.
 258  71.7908636  14810128.
 259  72.6868681  14994969.
 260  73.5940555  15182118.
 261  74.5125652  15371602.
 262  75.4425386  15563451.
 263  76.3841188  15757695.
 264  77.3374506  15954363.
 265  78.3026808  16153486.
 266  79.2799577  16355093.
 267  80.2694318  16559217.
 268  81.2712553  16765889.
 269  82.2855823  16975140.
 270  83.3125689  17187002.
 271  84.3523731  17401510.
 272  85.4051548  17618694.
 273  86.471076  17838588.
