 131 = number of grid points in theta
 index  thet(rad)  thet(deg)    cost     tan**2(thet)
 1  0.  0.  1.  0.
 2  0.110090002  6.30769253  0.993946195  0.0122184111
 3  0.13291353  7.61538458  0.991180003  0.0178761687
 4  0.155737072  8.92307663  0.987897456  0.0246516671
 5  0.178560615  10.2307692  0.984100342  0.032574065
 6  0.201384142  11.5384617  0.979790628  0.0416778177
 7  0.224207684  12.8461542  0.974970579  0.0520030148
 8  0.247031212  14.1538458  0.969642639  0.063595742
 9  0.269854754  15.4615383  0.963809609  0.0765085369
 10  0.292678297  16.7692299  0.957474589  0.0908009261
 11  0.315501839  18.0769234  0.950640798  0.106539994
 12  0.338325351  19.3846149  0.94331181  0.123801105
 13  0.361148894  20.6923084  0.935491502  0.142668694
 14  0.383972436  22.  0.927183867  0.163237184
 15  0.406795979  23.3076916  0.918393254  0.185612082
 16  0.429619521  24.6153851  0.909124315  0.209911123
 17  0.452443033  25.9230766  0.899381757  0.236265734
 18  0.475266576  27.2307701  0.889170766  0.264822662
 19  0.498090118  28.5384617  0.878496587  0.29574585
 20  0.520913661  29.8461533  0.867364824  0.329218477
 21  0.543737173  31.1538467  0.855781257  0.365445733
 22  0.566560745  32.4615402  0.843751907  0.404657483
 23  0.589384258  33.7692299  0.831283092  0.447111875
 24  0.61220777  35.0769234  0.81838125  0.493099213
 25  0.635031343  36.3846169  0.805053115  0.542946756
 26  0.657854855  37.6923065  0.791305602  0.597024202
 27  0.680678427  39.  0.777145982  0.655750155
 28  0.70350194  40.3076935  0.762581468  0.719600201
 29  0.726325452  41.6153831  0.747619808  0.789115667
 30  0.749149024  42.9230766  0.732268691  0.864915252
 31  0.771972537  44.2307701  0.716536105  0.947707951
 32  0.794796109  45.5384598  0.700430334  1.03830945
 33  0.817619622  46.8461533  0.683959663  1.13766181
 34  0.840443134  48.1538467  0.667132735  1.24685717
 35  0.863266706  49.4615402  0.649958372  1.36716723
 36  0.886090219  50.7692299  0.632445395  1.50008035
 37  0.908913791  52.0769234  0.614602983  1.6473459
 38  0.931737304  53.3846169  0.596440434  1.81103253
 39  0.954560816  54.6923065  0.577967167  1.99359906
 40  0.977384388  56.  0.559192896  2.19798708
 41  1.0002079  57.3076935  0.540127337  2.42773843
 42  1.02303147  58.6153831  0.520780444  2.68714905
 43  1.04585505  59.9230766  0.501162231  2.98146868
 44  1.0686785  61.2307701  0.481283009  3.317168
 45  1.09150207  62.5384598  0.46115309  3.70229411
 46  1.11432564  63.8461533  0.440782934  4.14695597
 47  1.1371491  65.1538467  0.420183182  4.66399193
 48  1.15997267  66.4615402  0.399364591  5.26990414
 49  1.18279624  67.7692337  0.37833795  5.98618698
