#######################
   XBIN   YBIN   VEL
#######################
   -5.6   -3.2   43.0
   -5.6   -2.4   63.1
   -5.6   -1.6   86.4
   -5.6   -0.8  113.1
   -5.6    0.0  124.1
   -5.6    0.8  145.9
   -4.8   -4.0   36.9
   -4.8   -3.2   50.0
   -4.8   -2.4   67.7
   -4.8   -1.6   83.7
   -4.8   -0.8   99.9
   -4.8    0.0  127.3
   -4.8    0.8  148.3
   -4.8    1.6  176.4
   -4.8    2.4  190.2
   -4.8    3.2  210.3
   -4.8    4.0  230.5
   -4.0   -4.8   11.5
   -4.0   -4.0   19.7
   -4.0   -3.2   38.9
   -4.0   -2.4   58.9
   -4.0   -1.6   70.0
   -4.0   -0.8   92.4
   -4.0    0.0  118.3
   -4.0    0.8  145.7
   -4.0    1.6  171.9
   -4.0    2.4  192.4
   -4.0    3.2  210.4
   -4.0    4.0  234.1
   -4.0    4.8  229.9
   -3.2   -5.6  -12.8
   -3.2   -4.8   -6.3
   -3.2   -4.0    1.7
   -3.2   -3.2   21.2
   -3.2   -2.4   42.0
   -3.2   -1.6   57.5
   -3.2   -0.8   85.6
   -3.2    0.0  110.5
   -3.2    0.8  137.1
   -3.2    1.6  165.1
   -3.2    2.4  182.0
   -3.2    3.2  196.2
   -3.2    4.0  205.9
   -3.2    4.8  211.3
   -3.2    5.6  202.8
   -2.4   -6.4  -31.2
   -2.4   -5.6  -26.9
   -2.4   -4.8  -15.3
   -2.4   -4.0  -12.9
   -2.4   -3.2    4.4
   -2.4   -2.4   20.4
   -2.4   -1.6   41.9
   -2.4   -0.8   71.7
   -2.4    0.0  101.7
   -2.4    0.8  135.8
   -2.4    1.6  157.6
   -2.4    2.4  165.3
   -2.4    3.2  176.5
   -2.4    4.0  188.7
   -2.4    4.8  199.5
   -2.4    5.6  190.4
   -1.6   -6.4  -48.9
   -1.6   -5.6  -41.8
   -1.6   -4.8  -35.2
   -1.6   -4.0  -35.7
   -1.6   -3.2  -14.5
   -1.6   -2.4    1.7
   -1.6   -1.6   24.1
   -1.6   -0.8   52.0
   -1.6    0.0   89.8
   -1.6    0.8  127.0
   -1.6    1.6  148.1
   -1.6    2.4  156.5
   -1.6    3.2  156.5
   -1.6    4.0  169.1
   -1.6    4.8  178.4
   -1.6    5.6  171.1
   -1.6    6.4  169.2
   -0.8   -7.2  -76.3
   -0.8   -6.4  -72.2
   -0.8   -5.6  -62.7
   -0.8   -4.8  -60.3
   -0.8   -4.0  -61.0
   -0.8   -3.2  -47.3
   -0.8   -2.4  -30.2
   -0.8   -1.6   -5.4
   -0.8   -0.8   27.5
   -0.8    0.0   69.1
   -0.8    0.8  104.3
   -0.8    1.6  129.9
   -0.8    2.4  136.9
   -0.8    3.2  142.1
   -0.8    4.0  149.6
   -0.8    4.8  155.8
   -0.8    5.6  152.2
   -0.8    6.4  144.3
    0.0   -7.2  -88.1
    0.0   -6.4  -89.4
    0.0   -5.6  -82.7
    0.0   -4.8  -84.9
    0.0   -4.0  -83.5
    0.0   -3.2  -71.9
    0.0   -2.4  -54.8
    0.0   -1.6  -41.5
    0.0   -0.8  -19.8
    0.0    0.0   21.7
    0.0    0.8   66.0
    0.0    1.6   87.8
    0.0    2.4  101.4
    0.0    3.2  119.1
    0.0    4.0  125.5
    0.0    4.8  131.0
    0.0    5.6  124.0
    0.0    6.4  124.9
    0.8   -8.0 -114.7
    0.8   -7.2 -105.6
    0.8   -6.4 -103.5
    0.8   -5.6 -106.7
    0.8   -4.8 -112.1
    0.8   -4.0 -111.3
    0.8   -3.2 -100.6
    0.8   -2.4  -85.1
    0.8   -1.6  -76.4
    0.8   -0.8  -60.6
    0.8    0.0  -23.2
    0.8    0.8   16.8
    0.8    1.6   47.4
    0.8    2.4   67.5
    0.8    3.2   92.0
    0.8    4.0   95.2
    0.8    4.8   98.2
    0.8    5.6  101.9
    0.8    6.4  111.2
    0.8    7.2  117.6
    1.6   -8.0 -128.6
    1.6   -7.2 -134.0
    1.6   -6.4 -132.9
    1.6   -5.6 -134.3
    1.6   -4.8 -134.9
    1.6   -4.0 -132.5
    1.6   -3.2 -121.2
    1.6   -2.4 -108.7
    1.6   -1.6  -90.8
    1.6   -0.8  -79.1
    1.6    0.0  -46.8
    1.6    0.8   -8.7
    1.6    1.6   29.5
    1.6    2.4   51.5
    1.6    3.2   62.1
    1.6    4.0   69.6
    1.6    4.8   81.9
    1.6    5.6   75.9
    1.6    6.4   73.7
    2.4   -8.0 -149.3
    2.4   -7.2 -144.2
    2.4   -6.4 -146.5
    2.4   -5.6 -161.1
    2.4   -4.8 -163.1
    2.4   -4.0 -150.4
    2.4   -3.2 -135.7
    2.4   -2.4 -122.6
    2.4   -1.6 -107.2
    2.4   -0.8  -86.5
    2.4    0.0  -58.1
    2.4    0.8  -27.5
    2.4    1.6    1.9
    2.4    2.4   21.4
    2.4    3.2   34.8
    2.4    4.0   55.1
    2.4    4.8   71.2
    2.4    5.6   70.6
    3.2   -8.8 -158.0
    3.2   -8.0 -166.0
    3.2   -7.2 -157.2
    3.2   -6.4 -158.6
    3.2   -5.6 -176.9
    3.2   -4.8 -180.4
    3.2   -4.0 -165.3
    3.2   -3.2 -148.0
    3.2   -2.4 -136.6
    3.2   -1.6 -116.1
    3.2   -0.8  -98.6
    3.2    0.0  -71.5
    3.2    0.8  -41.6
